Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2021-9546-ETH,2021,9546,DR-2021-000121,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Tigray, Afar and Amhara",,Food shortage,,,,,,,Km2,,,,,2021,5,,2022,2,,,,5500000,,5500000,,,,,,,100,1,1228;1229;1237,,"Afar, Amhara, Tigray (Adm1)."
2021-9152-KEN,2021,9152,DR-2021-000054,Natural,Climatological,Drought,Drought,,,Kenya,KEN,Eastern Africa,Africa,"Marsabit, Mandera, Garissa, Wajir, Kilifi, Tana River, Makueni, Lamu, Samburu, Kitui, Isiolo and Laikipia",,Food shortage,,,,,,,Km2,,,,,2021,3,,2022,3,,,,2100000,,2100000,,,,,,,100,2,,51340;51342;51346;51348;51349;51351;51352;51361;51363;51364;51384;51389,"Garissa, Isiolo, Kilifi, Kitui, Laikipia, Lamu, Makueni, Mandera, Marsabit, Samburu, Tana River, Wajir (Adm2)."
2018-9491-SEN,2018,9491,,Natural,Climatological,Drought,Drought,,,Senegal,SEN,Western Africa,Africa,Northern regions,,Food shortage,,Yes,,,,,Km2,,,,,2018,4,,2021,12,,,,320000,,320000,,,,,,,92.6696698,,,,
2019-9667-ZMB,2019,9667,OT-2019-000132,Natural,Climatological,Drought,Drought,,,Zambia,ZMB,Eastern Africa,Africa,"Southern, Western and parts of Lusaka, Eastern and Central provinces",,Food shortage,,,,,,,Km2,,,,,2019,,,2020,12,,,,1430000,,1430000,,,,,,,94.3490925,,,,
2019-9619-SWZ,2019,9619,,Natural,Climatological,Drought,Drought,,,Eswatini,SWZ,Southern Africa,Africa,"Shiselweni, Lubombo and Hhohho regions",,,,,,,,,Km2,,,,,2019,,,2019,12,,,,232000,,232000,,,,,,,94.3490925,1,2782;2783;2785,,"Hhohho, Lubombo, Shiselweni (Adm1)."
2019-9598-ZAF,2019,9598,,Natural,Climatological,Drought,Drought,,,South Africa,ZAF,Southern Africa,Africa,,,,,,,,,,Km2,,,,,2019,1,1,2019,12,31,,,750000,,750000,,,,,135000,143086,94.3490925,,,,
2021-9152-SOM,2021,9152,DR-2021-000054,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Gedo; Las Anod / Hudun and Taleb (Sool), Eilafwen (Sanaag), Odwein and Ainabo (Togdheer), Luqbaya / Zeila (Awdal) Somaliland state; Goldogo (Mudug); Ishkushuban (Bari), Puntland state; Nugaal",,Food shortage,,,,Yes,,,Km2,,,,,2021,3,,2022,3,,,,5600000,,5600000,,,,,,,100,1;2,2694;2701,25655;25656;25665;25706;25714;25716;25717,"Gedo, Nugaal (Adm1). Caynabo, Ceel Afweyn, Galdogob, Iskushuban, Laas Caanood, Lughaye, Zeylac (Adm2)."
2021-9148-ZAF,2021,9148,,Natural,Climatological,Drought,Drought,,,South Africa,ZAF,Southern Africa,Africa,,,Food shortage,,,,,,,Km2,,,,,2021,3,,2021,3,,,,12000000,,12000000,,,,,,,100,,,,
2021-9787-ZMB,2021,9787,DR-2021-000170,Natural,Climatological,Drought,Drought,,,Zambia,ZMB,Eastern Africa,Africa,"Southern, Western, Central, Copper Belt, Eastern, Luapula, Lusaka, Muchinga, North western and Northern provinces",,Food shortage,,,,,,,Km2,,,,,2021,7,,2021,11,,,,1180000,,1180000,,,,,,,100,1,3426;3427;3428;3429;3430;3431;3432;3433;3434,,"Central, Copperbelt, Eastern, Luapula, Lusaka, North-Western, Northern, Southern, Western (Adm1)."
2021-9786-ZWE,2021,9786,DR-2021-000168,Natural,Climatological,Drought,Drought,,,Zimbabwe,ZWE,Eastern Africa,Africa,"Matabeleland South, Manicaland, Masvingo,","Covid 19 pandemic, crop pests, food insecurity, and livestock diseases",Food shortage,,,,,,,Km2,,,,,2021,8,,2022,2,,,,167000,,167000,,,,,,,100,1,3437;3441;3443,,"Manicaland, Masvingo, Matabeleland South (Adm1)."
2021-9639-SSD,2021,9639,DR-2021-000065,Natural,Climatological,Drought,Drought,,,South Sudan,SSD,Northern Africa,Africa,"Aweil South (Northern Bahr el Gazzal State), Aweil East (Northern Bahr el Gazzal State), Gogrial West (Warrap State); Tonj South (Warrap State):",,Food shortage,,,,,,,Km2,,,,,2021,,,2021,9,,,,18000,,18000,,,,,,,100,2,,37077;37127;37129,"Aweil, Gogrial, Tonj (Adm2)."
